LOAN  #,Account Number,Status,DEALER,NAME,YEAR,MAKE,MODEL,VIN,GAAP DATE,NOI SENT,DAFS,DATE SOLD,C/O DATE,MONTHS IN INVENTORY,LOCATION,SOLD TO,MILEAGE,CR Grade,CHARGEABLE DAMAGES,BALANCE REPO DATE,AWV,MMR,CASH PRICE,ESTIMATED RECOVERY %,CURRENT MO PROCEEDS ESTIMATE,EOM GAAP PROCEEDS ESTIMATE,ACTUAL PROCEEDS,BACK END PRODUCT CANCELLATION,INSURANCE CLAIMS,GROSS C/O AMT,UNEARNED DISCOUNT,NET LOSS OR GAIN,RECOVERY,REM BAL,CASH OR NEW A/C#?,REASON / COMMENTS,Notes,EXCEPTION?,EXCEPTION DETAIL,Same Month Sale,MIN VAL,GAIN (LOSS),% DIFF,REPO_MONTH,REPO_ALLOW2 (HIST),Proforma NRV,Proforma G/L,Proforma Difference
5317.1,1,Sold,EPIC MOTOR GR,,2010.0,GMC,YUKON,1GKUCFDJ1AR267342,07/05/2019,07/05/2019,07/15/2019,08/01/2019,08/14/2019,21.4,INNOVATE,INNOVATE,121045.0,2.8,2930.0,9395.34,10850.0,7950.0,7950.0,,0.0,5763.75,5500.0,0.0,0.0,-3895.34,710.37,-3184.97,,-3184.97,,,,,,0,7950.0,-2450.0,-0.3081761006289308,Jul-19,0.275,5763.75,-263.75,-0.045760138798525266
5318.1,1,Repo,OTTOS AUTO,,2010.0,TOYOTA,Corolla,1NXBU4EE3AZ195106,04/08/2021,04/08/2021,04/19/2021,,,0.57,CARS,,79136.0,,,4954.48,,5775.0,5775.0,0.71,4100.25,4350.02,0.0,,0.0,4100.25,128.4,4228.65,,,,Skip,,,,,5775.0,0.0,0.0,Apr-21,0.24674922600619195,,,
5322.1,1,Sold,PALM BEACH AUTO,,2013.0,NISSAN,ALTIMA,1N4AL3AP3DC291709,03/10/2020,03/10/2020,03/20/2020,06/04/2020,06/23/2020,13.1,INNOVATE,INNOVATE,97271.0,1.8,3354.0,6585.63,,4000.0,4000.0,,0.0,2788.0,2200.0,0.0,0.0,-4385.63,638.81,-3746.82,,-3746.82,,,,,,0,4000.0,-1800.0,-0.45,Mar-20,0.303,2788.0,-588.0,-0.2109038737446198
5324.1,1,OCO,PREMIUM AUTO GROUP,,2018.0,NISSAN,VERSA,3N1CN7APXJL814098,09/28/2020,,,,09/28/2020,6.4,,,,,0.0,7858.5,,,,,0.0,0.0,,0.0,0.0,-7858.5,392.54,-7465.96,,-7465.96,,WRECKED / NO INSURANCE,,,,0,,,,Sep-20,,,,
5329.1,1,OCO,LUX AUTO SALES,,2015.0,KIA,OPTIMA,5XXGM4A77FG457756,01/06/2020,,,,01/06/2020,15.3,,,,,0.0,9723.73,,,,,0.0,0.0,,0.0,0.0,-9723.73,873.4,-8850.33,,-8850.33,,SKIP,,,,1,,,,Jan-20,,,,
5331.1,1,Sold,WATSON AUTO GROUP,,2015.0,MITUSBISHI,MIRAGE,ML32A3HJ8FH034883,09/08/2020,09/08/2020,09/18/2020,10/01/2020,10/08/2020,7.1,CARS,CARS,57729.0,1.9,3763.0,5048.03,,4575.0,3800.0,,0.0,3116.0,1500.0,0.0,0.0,-3548.03,367.94,-3180.09,,-3180.09,,,,,,0,3800.0,-2300.0,-0.6052631578947368,Sep-20,0.18,3116.0,-1616.0,-0.5186136071887034
5334.1,1,Sold,JENO AUTOPLEX,,2014.0,DODGE,RAM,3C6JR6AT1EG274842,08/20/2020,08/20/2020,08/31/2020,10/30/2020,10/30/2020,7.7,CARS,CARS,73743.0,1.9,8332.0,13910.38,,14350.0,14350.0,,0.0,11537.4,8500.0,0.0,0.0,-5410.38,1216.55,-4193.83,,-4193.83,,,,,,0,14350.0,-5850.0,-0.4076655052264808,Aug-20,0.196,11537.4,-3037.3999999999996,-0.2632655537642796
5335.1,1,Sold,K&M MOTORS,,2012.0,BMW,328I,WBA3A5C57CFJ88867,08/13/2020,08/13/2020,08/24/2020,08/25/2020,08/29/2020,7.9,MANHEIM,MANHEIM,109621.0,1.6,4372.0,7571.57,,4675.0,4675.0,,0.0,3758.7,5200.0,0.0,0.0,-2371.57,285.18,-2086.39,,-2086.39,,,,,,1,4675.0,525.0,0.11229946524064172,Aug-20,0.196,3758.7,1441.3000000000002,0.0
5336.1,1,Sold,PERFORMANCE MOTORS,,2003.0,JEEP,WRANGLER,1J4FA39S43P317895,11/12/2019,11/12/2019,11/22/2019,01/30/2020,01/30/2020,17.1,CARS,CARS,144063.0,1.9,3498.0,8988.96,5800.0,4550.0,4550.0,,0.0,3012.1,3500.0,0.0,0.0,-5488.96,1626.35,-3862.61,,-3862.61,,,,,,0,4550.0,-1050.0,-0.23076923076923078,Nov-19,0.338,3012.1,487.9000000000001,0.0
5345.1,1,OCO,SANTROS FAMILY,,2010.0,MADZA,3,JM1BL1SF2A1306992,05/19/2020,,,,05/19/2020,10.8,,,,,0.0,2411.09,,,,,0.0,0.0,,0.0,0.0,-2411.09,56.22,-2354.87,700.0,-1654.87,,SKIP,,,,0,,,,May-20,,,,
